date,World,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2023-01-01,27735451.0,257.0,6958.0,124.0,23.0,19.0,65.0,25.0,0.0,0.0,72558.0,37.0,108.0,26088587.0,91518.0,26728.0,508.0,0.0,0.0,118.0,0.0,0.0,6375.0,271.0,1.0,65.0,7.0,14277.0,0.0,151.0,218.0,206944.0,0.0,1584.0,877.0,17.0,111.0,89.0,0.0,16395.0,10.0,0.0,0.0,1.0,31368.0,24644876.0,6776.0,3.0,0.0,85.0,5155.0,8.0,2135.0,166.0,13.0,2602.0,2726.0,102.0,7754.0,0.0,0.0,589.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,905.0,684392.0,583926.0,0.0,0.0,48.0,4286.0,151707.0,103.0,47.0,1.0,0.0,691.0,151567.0,27.0,30.0,34711.0,0.0,11.0,545.0,64.0,7736.0,323.0,13.0,0.0,159.0,57.0,2638530.0,2230.0,4397.0,223.0,1543.0,4057.0,409.0,172.0,3004.0,0.0,7374.0,132328.0,0.0,946130.0,416.0,0.0,1513.0,37.0,0.0,35.0,52.0,12.0,152.0,1327.0,682.0,0.0,5.0,21.0,23.0,2258.0,2386.0,32720.0,1373.0,15.0,51.0,3371.0,15.0,2.0,167.0,0.0,414.0,1.0,1090.0,24.0,30816.0,165.0,358.0,37.0,108.0,225.0,0.0,351.0,69.0,73.0,74.0,0.0,36.0,5805.0,415.0,29469.0,0.0,18.0,35.0,123.0,469222.0,0.0,254.0,159.0,1261.0,122234.0,35.0,0.0,3.0,0.0,2066.0,22.0,3272.0,15458.0,3290.0,0.0,3160.0,2399.0,10107.0,1441.0,1849.0,3432.0,39255.0,59.0,6.0,0.0,0.0,11.0,26.0,19.0,17.0,9.0,170.0,0.0,238.0,0.0,6523.0,310.0,0.0,8324.0,4.0,549.0,7698.0,0.0,10.0,348.0,364052.0,457745.0,0.0,14823.0,40.0,12.0,0.0,9197.0,5948.0,0.0,0.0,45.0,2111.0,9.0,3.0,0.0,75.0,151.0,94.0,0.0,0.0,0.0,0.0,224.0,3411.0,459.0,41634.0,392203.0,47.0,25057896.0,8173.0,0.0,1.0,0.0,678.0,1029.0,12.0,0.0,512.0,202.0
2023-01-02,24630181.0,173.0,7634.0,117.0,31.0,0.0,65.0,25.0,0.0,0.0,72558.0,32.0,108.0,23011189.0,64519.0,25271.0,462.0,0.0,0.0,125.0,0.0,0.0,6217.0,271.0,0.0,65.0,7.0,14009.0,0.0,149.0,218.0,206944.0,0.0,1584.0,877.0,2.0,111.0,81.0,0.0,16395.0,6.0,0.0,0.0,1.0,31817.0,21483225.0,6776.0,3.0,0.0,85.0,5155.0,4.0,2186.0,137.0,13.0,2602.0,2699.0,83.0,7352.0,0.0,0.0,529.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,954.0,681853.0,583090.0,0.0,0.0,48.0,4295.0,151707.0,103.0,47.0,1.0,0.0,688.0,151567.0,17.0,30.0,34711.0,0.0,9.0,432.0,64.0,7407.0,323.0,1.0,6.0,159.0,0.0,2695348.0,2230.0,4397.0,223.0,1520.0,3851.0,421.0,172.0,2985.0,0.0,7196.0,133594.0,0.0,1033054.0,442.0,0.0,1465.0,37.0,0.0,34.0,52.0,12.0,142.0,1327.0,707.0,0.0,5.0,11.0,21.0,2237.0,2352.0,32204.0,1373.0,15.0,3.0,3578.0,15.0,2.0,167.0,0.0,367.0,3.0,1033.0,24.0,30950.0,165.0,364.0,41.0,63.0,225.0,0.0,350.0,180.0,69.0,61.0,0.0,36.0,5805.0,415.0,29469.0,0.0,10.0,35.0,240.0,468656.0,0.0,254.0,159.0,1244.0,95316.0,35.0,154.0,3.0,0.0,2066.0,14.0,3272.0,16452.0,3249.0,0.0,3116.0,2399.0,10071.0,1339.0,1849.0,3605.0,37804.0,54.0,10.0,0.0,0.0,11.0,16.0,19.0,0.0,0.0,170.0,0.0,235.0,0.0,6372.0,310.0,0.0,8866.0,4.0,546.0,7698.0,0.0,0.0,1087.0,365523.0,454935.0,0.0,14823.0,38.0,12.0,439.0,8993.0,5685.0,0.0,0.0,45.0,2111.0,9.0,4.0,0.0,75.0,151.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,459.0,41789.0,392203.0,47.0,21896371.0,8173.0,0.0,1.0,0.0,535.0,1029.0,12.0,0.0,512.0,199.0
2023-01-03,21233644.0,206.0,7475.0,116.0,31.0,17.0,65.0,23.0,0.0,0.0,72558.0,32.0,108.0,19616002.0,64519.0,24749.0,466.0,0.0,0.0,141.0,0.0,0.0,6081.0,271.0,0.0,65.0,7.0,13758.0,0.0,146.0,218.0,206944.0,0.0,1584.0,877.0,2.0,111.0,70.0,0.0,16395.0,6.0,0.0,0.0,1.0,31512.0,18303211.0,6776.0,3.0,0.0,85.0,5155.0,5.0,2169.0,151.0,13.0,2602.0,3456.0,83.0,6932.0,0.0,0.0,543.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,916.0,681511.0,585318.0,0.0,0.0,48.0,4248.0,151707.0,103.0,0.0,1.0,0.0,626.0,151567.0,22.0,30.0,34711.0,0.0,9.0,432.0,64.0,7380.0,323.0,1.0,6.0,229.0,0.0,2482069.0,2230.0,4397.0,223.0,1497.0,3700.0,457.0,172.0,2954.0,0.0,6968.0,134496.0,0.0,827719.0,436.0,0.0,1366.0,37.0,0.0,34.0,52.0,12.0,143.0,1327.0,721.0,0.0,5.0,11.0,31.0,2965.0,2346.0,31868.0,1373.0,15.0,3.0,3459.0,15.0,2.0,167.0,0.0,367.0,3.0,941.0,24.0,31133.0,165.0,364.0,40.0,316.0,225.0,0.0,340.0,180.0,70.0,61.0,0.0,30.0,5805.0,415.0,29469.0,0.0,10.0,35.0,240.0,468712.0,0.0,254.0,159.0,1341.0,95282.0,35.0,154.0,3.0,0.0,2066.0,10.0,3272.0,16115.0,2982.0,0.0,3628.0,2399.0,9934.0,1305.0,1849.0,3605.0,35687.0,54.0,10.0,0.0,0.0,11.0,16.0,28.0,0.0,0.0,209.0,0.0,221.0,0.0,6119.0,310.0,0.0,6062.0,4.0,616.0,7698.0,0.0,0.0,1038.0,364652.0,448540.0,0.0,14823.0,39.0,12.0,439.0,9425.0,5383.0,0.0,0.0,45.0,2111.0,9.0,3.0,0.0,75.0,151.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,441.0,41756.0,392203.0,47.0,18713452.0,8173.0,0.0,1.0,0.0,487.0,1063.0,12.0,0.0,512.0,226.0
2023-01-04,18055164.0,226.0,7392.0,117.0,27.0,17.0,0.0,23.0,0.0,0.0,72558.0,32.0,108.0,16489471.0,64519.0,25537.0,387.0,0.0,0.0,141.0,0.0,0.0,5932.0,271.0,0.0,65.0,7.0,13629.0,0.0,124.0,218.0,171977.0,0.0,2447.0,877.0,2.0,111.0,65.0,0.0,16395.0,7.0,0.0,3.0,1.0,30815.0,15310847.0,6776.0,3.0,0.0,85.0,5155.0,8.0,2276.0,150.0,27.0,2602.0,3306.0,83.0,7224.0,0.0,0.0,528.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,857.0,695578.0,603411.0,0.0,0.0,48.0,4565.0,151707.0,103.0,0.0,0.0,0.0,709.0,151567.0,22.0,30.0,34711.0,0.0,9.0,432.0,64.0,7370.0,280.0,1.0,6.0,229.0,0.0,2335131.0,2230.0,2921.0,223.0,1484.0,3602.0,541.0,172.0,2805.0,0.0,6781.0,153276.0,36.0,703404.0,422.0,0.0,1213.0,37.0,0.0,34.0,52.0,12.0,104.0,1327.0,631.0,0.0,5.0,11.0,23.0,2817.0,2313.0,31416.0,1373.0,15.0,3.0,3368.0,15.0,3.0,167.0,0.0,367.0,3.0,912.0,24.0,30982.0,165.0,364.0,42.0,294.0,225.0,0.0,297.0,180.0,57.0,61.0,0.0,35.0,5805.0,165.0,0.0,101.0,12.0,35.0,155.0,468418.0,0.0,254.0,159.0,1293.0,65466.0,35.0,181.0,3.0,0.0,2066.0,10.0,3272.0,16094.0,2815.0,0.0,3395.0,2399.0,9666.0,1222.0,1849.0,3605.0,32813.0,54.0,10.0,0.0,0.0,11.0,16.0,28.0,0.0,0.0,182.0,0.0,210.0,0.0,5883.0,310.0,0.0,5194.0,4.0,596.0,7698.0,0.0,0.0,1038.0,328829.0,439617.0,0.0,14823.0,40.0,12.0,439.0,9559.0,4577.0,0.0,0.0,45.0,2111.0,6.0,3.0,0.0,75.0,151.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,442.0,41870.0,392203.0,47.0,15682549.0,8173.0,0.0,1.0,0.0,478.0,972.0,0.0,0.0,512.0,269.0
2023-01-05,15832038.0,221.0,6896.0,98.0,28.0,17.0,30.0,23.0,0.0,0.0,72558.0,32.0,0.0,14303947.0,64519.0,24602.0,331.0,0.0,0.0,141.0,0.0,0.0,5596.0,228.0,0.0,127.0,7.0,12363.0,0.0,130.0,218.0,164136.0,0.0,2447.0,877.0,2.0,111.0,58.0,0.0,16395.0,7.0,0.0,4.0,1.0,27676.0,13028054.0,6776.0,1.0,0.0,145.0,0.0,10.0,2305.0,149.0,14.0,2602.0,3196.0,83.0,6621.0,0.0,0.0,405.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,781.0,677229.0,588916.0,0.0,0.0,48.0,3755.0,151707.0,103.0,0.0,0.0,0.0,811.0,151567.0,22.0,30.0,34711.0,0.0,9.0,432.0,64.0,7252.0,280.0,1.0,6.0,214.0,0.0,2413868.0,1852.0,2921.0,223.0,1404.0,3452.0,594.0,172.0,2794.0,0.0,6686.0,142720.0,36.0,807708.0,327.0,0.0,1048.0,37.0,0.0,31.0,52.0,12.0,96.0,1327.0,760.0,0.0,5.0,11.0,21.0,2824.0,2100.0,29586.0,1373.0,15.0,3.0,3321.0,15.0,1.0,167.0,0.0,367.0,3.0,914.0,24.0,31276.0,165.0,364.0,46.0,321.0,225.0,0.0,278.0,180.0,53.0,61.0,0.0,24.0,5805.0,165.0,0.0,101.0,12.0,35.0,151.0,462639.0,0.0,254.0,159.0,1252.0,65518.0,35.0,203.0,3.0,0.0,2066.0,7.0,3272.0,15381.0,2792.0,0.0,3319.0,2399.0,9223.0,1163.0,1849.0,3605.0,29941.0,54.0,10.0,0.0,0.0,11.0,16.0,28.0,0.0,0.0,158.0,0.0,201.0,0.0,6017.0,310.0,0.0,6000.0,0.0,565.0,7698.0,0.0,0.0,739.0,315799.0,432310.0,0.0,14823.0,31.0,12.0,439.0,8496.0,3950.0,0.0,0.0,45.0,2111.0,4.0,2.0,0.0,75.0,397.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,433.0,41525.0,392203.0,52.0,13382768.0,8173.0,0.0,0.0,0.0,422.0,844.0,0.0,0.0,382.0,296.0
2023-01-06,13973802.0,251.0,7036.0,103.0,27.0,17.0,30.0,23.0,0.0,0.0,72558.0,32.0,0.0,12393048.0,64519.0,22979.0,313.0,0.0,0.0,138.0,0.0,0.0,5295.0,228.0,0.0,62.0,7.0,10868.0,0.0,146.0,218.0,158417.0,0.0,2447.0,877.0,2.0,0.0,51.0,0.0,16395.0,7.0,0.0,4.0,1.0,26446.0,11090720.0,6776.0,1.0,0.0,117.0,4960.0,9.0,1968.0,146.0,14.0,3598.0,3020.0,83.0,6152.0,0.0,0.0,336.0,4286.0,19.0,0.0,0.0,0.0,541.0,13.0,712.0,662105.0,579586.0,0.0,0.0,21.0,3236.0,151707.0,170.0,0.0,0.0,0.0,875.0,151567.0,22.0,37.0,34711.0,0.0,9.0,432.0,0.0,5517.0,280.0,1.0,6.0,260.0,0.0,2504751.0,1823.0,2921.0,223.0,1389.0,3419.0,626.0,172.0,3742.0,0.0,6555.0,135977.0,36.0,842549.0,294.0,0.0,1027.0,37.0,0.0,37.0,52.0,12.0,81.0,1327.0,842.0,0.0,8.0,11.0,22.0,2662.0,1954.0,28364.0,1373.0,15.0,3.0,3213.0,15.0,1.0,167.0,0.0,367.0,3.0,956.0,9.0,31571.0,165.0,364.0,45.0,343.0,225.0,0.0,293.0,180.0,38.0,61.0,0.0,22.0,5805.0,165.0,0.0,101.0,12.0,35.0,151.0,544898.0,0.0,254.0,159.0,1199.0,65407.0,35.0,236.0,3.0,0.0,2066.0,15.0,0.0,12567.0,3251.0,0.0,3147.0,2399.0,8755.0,1130.0,2104.0,3605.0,27570.0,54.0,10.0,0.0,9.0,11.0,16.0,28.0,0.0,0.0,142.0,0.0,198.0,0.0,6161.0,310.0,0.0,5800.0,0.0,549.0,7698.0,0.0,0.0,739.0,301298.0,424057.0,0.0,14823.0,37.0,12.0,439.0,7740.0,3276.0,0.0,0.0,45.0,2111.0,6.0,3.0,0.0,75.0,246.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,440.0,38700.0,471714.0,56.0,11434771.0,8173.0,0.0,0.0,0.0,338.0,558.0,0.0,0.0,382.0,317.0
2023-01-07,12463843.0,213.0,7223.0,110.0,33.0,17.0,30.0,45.0,0.0,0.0,72558.0,32.0,0.0,10913047.0,64519.0,21711.0,372.0,0.0,0.0,125.0,0.0,0.0,4964.0,228.0,0.0,62.0,7.0,12554.0,0.0,152.0,218.0,148397.0,0.0,2447.0,877.0,2.0,218.0,39.0,0.0,16691.0,7.0,0.0,4.0,1.0,25963.0,9524698.0,4856.0,1.0,1.0,134.0,4960.0,9.0,1770.0,134.0,14.0,3598.0,2947.0,83.0,5451.0,0.0,0.0,448.0,2723.0,23.0,0.0,0.0,0.0,541.0,13.0,656.0,642825.0,566119.0,0.0,0.0,21.0,2918.0,151707.0,67.0,0.0,0.0,0.0,1001.0,151567.0,22.0,37.0,34711.0,0.0,9.0,432.0,0.0,6263.0,280.0,1.0,6.0,260.0,0.0,2573295.0,2133.0,2921.0,223.0,1377.0,3386.0,643.0,172.0,3358.0,0.0,6610.0,127738.0,36.0,939307.0,271.0,0.0,1016.0,37.0,0.0,43.0,52.0,12.0,74.0,1327.0,875.0,0.0,7.0,11.0,20.0,2514.0,2062.0,30170.0,1373.0,10.0,3.0,3173.0,9.0,1.0,167.0,0.0,367.0,3.0,968.0,9.0,31831.0,13.0,364.0,44.0,343.0,225.0,0.0,275.0,180.0,30.0,61.0,0.0,20.0,5805.0,165.0,0.0,101.0,12.0,13.0,151.0,545451.0,0.0,254.0,159.0,1135.0,65275.0,35.0,259.0,5.0,0.0,2066.0,16.0,3240.0,10496.0,3251.0,0.0,2644.0,2399.0,7590.0,1104.0,2104.0,3605.0,25346.0,54.0,10.0,0.0,9.0,11.0,16.0,28.0,0.0,0.0,112.0,0.0,188.0,0.0,6332.0,310.0,0.0,5607.0,0.0,482.0,7698.0,0.0,0.0,739.0,290012.0,414561.0,0.0,14823.0,39.0,0.0,439.0,6503.0,2654.0,0.0,0.0,71.0,997.0,6.0,5.0,0.0,75.0,246.0,74.0,0.0,0.0,0.0,0.0,224.0,3411.0,465.0,35663.0,471714.0,62.0,9854463.0,8173.0,0.0,0.0,0.0,286.0,502.0,0.0,0.0,382.0,327.0
2023-01-08,10959007.0,201.0,7373.0,113.0,37.0,17.0,30.0,45.0,0.0,0.0,40982.0,32.0,0.0,9571769.0,64519.0,19106.0,402.0,0.0,0.0,125.0,390.0,0.0,4683.0,228.0,0.0,62.0,13.0,9349.0,48.0,149.0,300.0,145933.0,0.0,2447.0,1112.0,2.0,218.0,38.0,0.0,16691.0,7.0,0.0,4.0,1.0,25207.0,8061762.0,4856.0,1.0,1.0,134.0,4960.0,16.0,1432.0,141.0,14.0,3598.0,2914.0,83.0,4858.0,0.0,0.0,342.0,2723.0,23.0,0.0,0.0,0.0,397.0,19.0,659.0,519537.0,447893.0,0.0,0.0,21.0,2472.0,80829.0,67.0,0.0,0.0,0.0,1044.0,130316.0,5.0,37.0,39318.0,0.0,9.0,432.0,0.0,4534.0,280.0,1.0,6.0,234.0,39.0,2568687.0,2429.0,2921.0,192.0,1275.0,3365.0,668.0,0.0,3660.0,0.0,6639.0,108312.0,36.0,1070496.0,271.0,0.0,987.0,0.0,0.0,52.0,48.0,6.0,63.0,393.0,907.0,0.0,5.0,11.0,20.0,2485.0,1505.0,28288.0,1053.0,10.0,3.0,3231.0,9.0,1.0,241.0,0.0,367.0,3.0,985.0,9.0,31932.0,13.0,364.0,47.0,343.0,363.0,0.0,273.0,180.0,32.0,61.0,0.0,20.0,4389.0,165.0,0.0,101.0,2.0,13.0,155.0,544201.0,0.0,239.0,0.0,1068.0,65149.0,32.0,259.0,5.0,0.0,1403.0,17.0,3240.0,12095.0,4552.0,0.0,2633.0,2154.0,7978.0,1065.0,2104.0,3605.0,23435.0,54.0,10.0,0.0,9.0,2.0,16.0,28.0,0.0,0.0,114.0,0.0,186.0,0.0,6240.0,0.0,0.0,5456.0,0.0,456.0,5940.0,0.0,0.0,1708.0,250968.0,403800.0,0.0,12663.0,36.0,0.0,439.0,5953.0,2275.0,0.0,0.0,71.0,997.0,6.0,5.0,0.0,103.0,246.0,74.0,0.0,0.0,0.0,0.0,70.0,2970.0,456.0,33385.0,471714.0,50.0,8356622.0,5649.0,291.0,0.0,0.0,194.0,480.0,0.0,0.0,0.0,303.0
2023-01-09,10002973.0,225.0,7746.0,139.0,25.0,24.0,30.0,45.0,0.0,0.0,40982.0,39.0,0.0,8591211.0,45963.0,18289.0,481.0,0.0,0.0,128.0,390.0,0.0,4530.0,228.0,3.0,62.0,13.0,8878.0,48.0,140.0,300.0,157105.0,0.0,2447.0,1112.0,6.0,218.0,37.0,0.0,16691.0,6.0,0.0,4.0,0.0,24640.0,6982790.0,4856.0,1.0,1.0,152.0,4960.0,17.0,1372.0,160.0,14.0,3598.0,2871.0,90.0,4737.0,0.0,0.0,348.0,2723.0,23.0,0.0,0.0,0.0,397.0,19.0,512.0,511918.0,442943.0,0.0,0.0,21.0,2416.0,80829.0,67.0,0.0,0.0,0.0,1102.0,130316.0,23.0,37.0,39318.0,0.0,0.0,277.0,0.0,5349.0,280.0,15.0,0.0,234.0,39.0,2683274.0,2429.0,2921.0,192.0,1272.0,3369.0,712.0,0.0,3527.0,0.0,6601.0,104497.0,36.0,1174110.0,260.0,0.0,982.0,92.0,1491.0,61.0,48.0,6.0,66.0,393.0,996.0,0.0,5.0,1.0,21.0,2477.0,2504.0,27748.0,1053.0,10.0,68.0,3216.0,9.0,1.0,241.0,0.0,194.0,3.0,1018.0,9.0,32165.0,13.0,302.0,42.0,343.0,363.0,0.0,271.0,185.0,38.0,66.0,0.0,24.0,4389.0,165.0,40236.0,101.0,3.0,13.0,51.0,545098.0,0.0,239.0,0.0,1039.0,88258.0,32.0,147.0,5.0,0.0,1403.0,17.0,3240.0,10232.0,2777.0,0.0,2618.0,2154.0,8123.0,1046.0,2104.0,4107.0,22305.0,25.0,0.0,0.0,9.0,2.0,7.0,28.0,25.0,17.0,114.0,0.0,181.0,0.0,6412.0,0.0,0.0,5460.0,0.0,450.0,5940.0,0.0,0.0,969.0,258742.0,400171.0,0.0,12663.0,36.0,0.0,0.0,5728.0,2201.0,0.0,0.0,71.0,997.0,6.0,4.0,0.0,103.0,246.0,84.0,0.0,0.0,0.0,0.0,70.0,2970.0,481.0,31828.0,471714.0,50.0,7285977.0,5649.0,291.0,0.0,0.0,136.0,532.0,0.0,0.0,1063.0,303.0
2023-01-10,9131297.0,197.0,7693.0,139.0,26.0,7.0,30.0,29.0,0.0,0.0,40982.0,39.0,0.0,7714276.0,45963.0,18799.0,478.0,0.0,0.0,118.0,390.0,0.0,4477.0,228.0,3.0,62.0,13.0,9000.0,48.0,152.0,300.0,158769.0,0.0,2447.0,1112.0,6.0,218.0,40.0,0.0,16691.0,11.0,0.0,4.0,0.0,24783.0,6108024.0,4856.0,1.0,1.0,176.0,4960.0,18.0,1364.0,139.0,14.0,3598.0,2628.0,90.0,4645.0,0.0,0.0,358.0,2723.0,23.0,0.0,0.0,0.0,397.0,19.0,505.0,510571.0,442366.0,0.0,0.0,21.0,2373.0,80829.0,67.0,0.0,0.0,0.0,1279.0,130316.0,18.0,37.0,39318.0,0.0,0.0,277.0,0.0,6914.0,280.0,15.0,0.0,164.0,39.0,2681506.0,2429.0,2921.0,192.0,1259.0,3186.0,751.0,0.0,3473.0,0.0,6386.0,104687.0,36.0,1193154.0,248.0,0.0,1026.0,92.0,1491.0,61.0,48.0,6.0,67.0,393.0,1139.0,0.0,5.0,1.0,15.0,2215.0,2469.0,28862.0,1053.0,10.0,68.0,3238.0,9.0,1.0,241.0,0.0,194.0,3.0,1035.0,9.0,32723.0,1232.0,302.0,40.0,71.0,363.0,0.0,271.0,185.0,32.0,66.0,0.0,26.0,4389.0,165.0,40236.0,101.0,3.0,13.0,60.0,549064.0,0.0,239.0,0.0,959.0,89496.0,32.0,164.0,5.0,0.0,1403.0,20.0,3240.0,9830.0,2920.0,0.0,2429.0,2154.0,9998.0,1005.0,2104.0,4107.0,22257.0,25.0,0.0,0.0,11.0,2.0,7.0,5.0,25.0,17.0,102.0,0.0,175.0,0.0,6687.0,0.0,0.0,5455.0,0.0,425.0,5940.0,0.0,0.0,969.0,260197.0,379156.0,0.0,12663.0,39.0,0.0,0.0,5420.0,2144.0,0.0,0.0,71.0,997.0,6.0,4.0,0.0,103.0,246.0,84.0,0.0,0.0,0.0,0.0,70.0,2970.0,505.0,30988.0,471714.0,50.0,6414992.0,5649.0,291.0,0.0,0.0,134.0,498.0,0.0,0.0,1063.0,254.0
